NAME,MILESTONE,NEW_INFUSE,FIRE,SUCCESS_PROB,RAISED_TO_DATE,OPPORTUNITY_SCORE,POST_VAL,YEAR_FOUNDED,VC_BACKED
Blue Laser Fusion,No,No,No,70,"62,000,000",79,"100,000,000",2022,Yes
Commonwealth Fusion Systems,Yes,No,No,67,"2,860,000,000",66,,2018,Yes
Ex-Fusion,No,Yes,No,75,"41,290,000",93,"76,760,000",2021,Yes
Focused Energy,Yes,No,No,89,"247,000,000",99,,2021,Yes
Helicity Space,No,No,No,52,"5,000,000",60,"20,000,000",2018,Yes
Helion,No,No,No,94,"1,030,000,000",74,"5,430,000,000",2013,Yes
Kyoto Fusioneering,No,No,No,84,"191,280,000",72,"508,110,000",2019,Yes
Marvel Fusion,No,Yes,No,80,"161,840,000",74,"127,420,000",2019,Yes
Molten Salt Solutions,No,Yes,No,NA,"3,000,000",NA,"10,000,000",2018,Yes
Pacific Fusion,No,Yes,No,,"900,000,000",,,,
Realta Fusion,Yes,No,No,60,"54,010,000",78,"105,510,000",2022,Yes
TAE Technologies,No,No,No,97,"1,790,000,000",79,"6,320,000,000",1998,Yes
Thea Energy,Yes,No,Yes,82,"30,000,000",93,"63,000,000",2022,Yes
Tokomak Energy,Yes,No,Yes,,,,,,
Type One Energy,Yes,No,No,93,"169,400,000",99,"130,000,000",2019,Yes
Westinghouse,No,Yes,No,,"7,280,000,000",,"8,000,000,000",1886,No
Xcimer Energy,Yes,No,No,72,"100,870,000",96,"203,000,000",2021,Yes
Superpower,No,No,No,,,,,,
Renaissance Fusion,No,No,No,72,"50,760,000",92,151110000,2020,Yes
